,route,depature,error
0,B->C->E,1900-01-01 13:17:00,2.7165770262764113
1,A->C->E,1900-01-01 07:07:00,2.8203843654424077
2,A->C->E,1900-01-01 07:59:00,4.273099708414023
3,B->C->E,1900-01-01 14:21:00,1.2417243204720307
4,B->C->D,1900-01-01 10:09:00,2.1878512936103647
5,B->C->D,1900-01-01 07:44:00,1.2596490808195142
6,B->C->E,1900-01-01 13:44:00,0.9718910238070322
7,B->C->D,1900-01-01 09:11:00,0.7634108391351617
8,A->C->E,1900-01-01 08:19:00,3.6909448785642667
9,A->C->E,1900-01-01 09:05:00,4.608247428614362
10,B->C->D,1900-01-01 11:54:00,6.46279297433054
11,B->C->D,1900-01-01 11:24:00,0.3158635620293353
12,B->C->D,1900-01-01 11:24:00,1.6841364379706647
13,B->C->D,1900-01-01 12:14:00,0.6077347141452023
14,B->C->D,1900-01-01 09:02:00,4.740788584381036
15,A->C->D,1900-01-01 16:51:00,1.7680968276262945
16,B->C->E,1900-01-01 12:57:00,5.1825600691851434
17,A->C->E,1900-01-01 12:07:00,2.281053170116863
18,B->C->E,1900-01-01 07:50:00,3.124063667701847
19,A->C->D,1900-01-01 15:04:00,1.5175209685847761
20,A->C->E,1900-01-01 16:55:00,8.236704777395659
21,A->C->D,1900-01-01 08:06:00,11.875441417873347
22,B->C->D,1900-01-01 13:02:00,0.5943117814842083
23,B->C->D,1900-01-01 08:37:00,6.696414113912837
24,B->C->D,1900-01-01 16:25:00,2.735792599271889
25,A->C->E,1900-01-01 15:06:00,1.9592522235726193
26,A->C->D,1900-01-01 12:35:00,9.683562254352509
27,B->C->D,1900-01-01 09:56:00,2.1644851575833997
28,B->C->D,1900-01-01 13:40:00,4.7825525888457605
29,B->C->D,1900-01-01 12:25:00,12.289391110743267
30,A->C->E,1900-01-01 07:47:00,0.7484735393990007
31,A->C->E,1900-01-01 12:46:00,4.789059885275464
32,B->C->D,1900-01-01 16:29:00,3.952668168046017
33,B->C->E,1900-01-01 10:20:00,1.2354456279691277
34,B->C->D,1900-01-01 11:39:00,0.1940002500315927
35,A->C->E,1900-01-01 15:31:00,7.914307957295492
36,B->C->E,1900-01-01 13:17:00,3.7165770262764113
37,B->C->E,1900-01-01 15:55:00,0.14612094379793916
38,B->C->D,1900-01-01 13:21:00,10.82105665965193
39,A->C->E,1900-01-01 15:31:00,6.085692042704508
40,A->C->E,1900-01-01 07:16:00,2.80420442958264
41,B->C->E,1900-01-01 15:29:00,5.153872785751332
42,A->C->D,1900-01-01 09:41:00,12.32460074849952
43,A->C->D,1900-01-01 16:10:00,6.242166774426991
44,B->C->E,1900-01-01 12:26:00,1.8248752377994464
45,B->C->D,1900-01-01 15:48:00,0.7612128158266387
46,A->C->D,1900-01-01 14:54:00,2.1448290942173145
47,B->C->E,1900-01-01 09:27:00,0.8497761428193655
48,B->C->E,1900-01-01 09:36:00,1.9536201261248607
49,B->C->E,1900-01-01 07:02:00,2.7330234596732623
50,B->C->D,1900-01-01 15:30:00,0.9755452798533781
51,B->C->D,1900-01-01 09:55:00,3.402114950794271
52,A->C->D,1900-01-01 08:33:00,0.986816541854239
53,A->C->E,1900-01-01 15:29:00,6.917903498597667
